name,Longitude,Latitude,Cluster
China,103.8190735,36.56176546,2
C̫te d'Ivoire,-5.5692157,7.6284262,3
Cameroon,12.73964156,5.69109849,3
Dem. Rep. Congo,23.64396107,-2.87746289,1
Congo,15.21965762,-0.83787463,1
Cook Is.,-159.7872422,-21.21927288,0
Colombia,-73.08114582,3.91383431,4
Comoros,43.68253968,-11.87783444,1
Cape Verde,-23.9598882,15.95523324,3
Costa Rica,-84.19208768,9.97634464,4
Cuba,-79.01605384,21.62289528,4
Cura̤ao,-68.97119369,12.19551675,4
Cayman Is.,-80.91213321,19.42896497,4
N. Cyprus,33.5684813,35.26277486,3
Cyprus,33.0060022,34.91667211,3
Czech Rep.,15.31240163,49.73341233,3
Germany,10.38578051,51.10698181,3
Djibouti,42.5606754,11.74871806,1
Dominica,-61.357726,15.4394702,4
Denmark,10.02800992,55.98125296,3
Dominican Rep.,-70.50568896,18.89433082,4
Algeria,2.61732301,28.15893849,3
Ecuador,-78.75201922,-1.42381612,4
Egypt,29.86190099,26.49593311,1
Eritrea,38.84617011,15.36186618,1
Spain,-3.64755047,40.24448698,3
Estonia,25.54248537,58.67192972,3
Ethiopia,39.60080098,8.62278679,1
Finland,26.2746656,64.49884603,3
Fiji,165.4519543,-17.42858032,2
Falkland Is.,-59.35238956,-51.74483954,4
France,-2.76172945,42.17344011,3
Faeroe Is.,-6.88095423,62.05385403,3
Micronesia,153.2394379,7.45246814,2
Gabon,11.7886287,-0.58660025,1
United Kingdom,-2.86563164,54.12387156,3
Georgia,43.50780252,42.16855755,1
Guernsey,-2.57239064,49.46809761,3
Ghana,-1.21676566,7.95345644,3
Guinea,-10.94066612,10.43621593,3
Gambia,-15.39601295,13.44965244,3
Guinea-Bissau,-14.94972445,12.04744948,3
Eq. Guinea,10.34137924,1.70555135,3
Greece,22.95555794,39.07469623,3
Grenada,-61.68220189,12.11725044,4
Greenland,-41.34191127,74.71051289,3
Guatemala,-90.36482009,15.69403664,4
Guam,144.7679102,13.44165626,2
Guyana,-58.98202459,4.79378034,4
Hong Kong,114.1138045,22.39827737,2
Heard I. and McDonald Is.,73.5205171,-53.08724656,1
Honduras,-86.6151661,14.82688165,4
Croatia,16.40412899,45.08047631,3
Haiti,-72.68527509,18.93502563,4
Hungary,19.39559116,47.16277506,3
Indonesia,117.2401137,-2.21505456,2
Isle of Man,-4.53873952,54.22418911,3
India,79.6119761,22.88578212,1
Indian Ocean Ter.,104.851898,-10.6478515,2
Br. Indian Ocean Ter.,72.44541229,-7.33059751,1
Ireland,-8.13793569,53.1754487,3
Iran,54.27407004,32.57503292,1
Iraq,43.74353149,33.03970582,1
Iceland,-18.57396167,64.99575386,3
Israel,35.00444693,31.46110101,1
Italy,12.07001339,42.79662641,3
Jamaica,-77.31482593,18.15694878,4
Jersey,-2.12689938,49.21837377,3
Jordan,36.77136104,31.24579091,1
Japan,138.0308956,37.59230135,2
Siachen Glacier,77.18011865,35.39236325,1
Kazakhstan,67.29149357,48.15688067,1
Kenya,37.79593973,0.59988022,1
Kyrgyzstan,74.54165513,41.46221943,1
Cambodia,104.9069433,12.72004786,2
Kiribati,-45.61110513,0.86001503,4
St. Kitts and Nevis,-62.68755265,17.2645995,4
Korea,127.8391609,36.38523983,2
Kosovo,20.87249811,42.57078707,3
Kuwait,47.58700459,29.33431262,1
Lao PDR,103.7377241,18.50217433,2
Lebanon,35.88016072,33.92306631,1
Liberia,-9.32207573,6.45278492,3
Libya,18.00866169,27.03094495,3
Saint Lucia,-60.96969923,13.89479481,4
Liechtenstein,9.53574312,47.13665835,3
