name,Longitude,Latitude,Cluster
China,103.8190735,36.56176546,0
C̫te d'Ivoire,-5.5692157,7.6284262,1
Cameroon,12.73964156,5.69109849,1
Dem. Rep. Congo,23.64396107,-2.87746289,1
Congo,15.21965762,-0.83787463,1
Cook Is.,-159.7872422,-21.21927288,2
Colombia,-73.08114582,3.91383431,2
Comoros,43.68253968,-11.87783444,1
Cape Verde,-23.9598882,15.95523324,1
Costa Rica,-84.19208768,9.97634464,2
Cuba,-79.01605384,21.62289528,2
Cura̤ao,-68.97119369,12.19551675,2
Cayman Is.,-80.91213321,19.42896497,2
N. Cyprus,33.5684813,35.26277486,1
Cyprus,33.0060022,34.91667211,1
Czech Rep.,15.31240163,49.73341233,1
Germany,10.38578051,51.10698181,1
Djibouti,42.5606754,11.74871806,1
Dominica,-61.357726,15.4394702,2
Denmark,10.02800992,55.98125296,1
Dominican Rep.,-70.50568896,18.89433082,2
Algeria,2.61732301,28.15893849,1
Ecuador,-78.75201922,-1.42381612,2
Egypt,29.86190099,26.49593311,1
Eritrea,38.84617011,15.36186618,1
Spain,-3.64755047,40.24448698,1
Estonia,25.54248537,58.67192972,1
Ethiopia,39.60080098,8.62278679,1
Finland,26.2746656,64.49884603,1
Fiji,165.4519543,-17.42858032,0
Falkland Is.,-59.35238956,-51.74483954,2
France,-2.76172945,42.17344011,1
Faeroe Is.,-6.88095423,62.05385403,1
Micronesia,153.2394379,7.45246814,0
Gabon,11.7886287,-0.58660025,1
United Kingdom,-2.86563164,54.12387156,1
Georgia,43.50780252,42.16855755,1
Guernsey,-2.57239064,49.46809761,1
Ghana,-1.21676566,7.95345644,1
Guinea,-10.94066612,10.43621593,1
Gambia,-15.39601295,13.44965244,1
Guinea-Bissau,-14.94972445,12.04744948,1
Eq. Guinea,10.34137924,1.70555135,1
Greece,22.95555794,39.07469623,1
Grenada,-61.68220189,12.11725044,2
Greenland,-41.34191127,74.71051289,1
Guatemala,-90.36482009,15.69403664,2
Guam,144.7679102,13.44165626,0
Guyana,-58.98202459,4.79378034,2
Hong Kong,114.1138045,22.39827737,0
Heard I. and McDonald Is.,73.5205171,-53.08724656,0
Honduras,-86.6151661,14.82688165,2
Croatia,16.40412899,45.08047631,1
Haiti,-72.68527509,18.93502563,2
Hungary,19.39559116,47.16277506,1
Indonesia,117.2401137,-2.21505456,0
Isle of Man,-4.53873952,54.22418911,1
India,79.6119761,22.88578212,0
Indian Ocean Ter.,104.851898,-10.6478515,0
Br. Indian Ocean Ter.,72.44541229,-7.33059751,0
Ireland,-8.13793569,53.1754487,1
Iran,54.27407004,32.57503292,1
Iraq,43.74353149,33.03970582,1
Iceland,-18.57396167,64.99575386,1
Israel,35.00444693,31.46110101,1
Italy,12.07001339,42.79662641,1
Jamaica,-77.31482593,18.15694878,2
Jersey,-2.12689938,49.21837377,1
Jordan,36.77136104,31.24579091,1
Japan,138.0308956,37.59230135,0
Siachen Glacier,77.18011865,35.39236325,1
Kazakhstan,67.29149357,48.15688067,1
Kenya,37.79593973,0.59988022,1
Kyrgyzstan,74.54165513,41.46221943,1
Cambodia,104.9069433,12.72004786,0
Kiribati,-45.61110513,0.86001503,2
St. Kitts and Nevis,-62.68755265,17.2645995,2
Korea,127.8391609,36.38523983,0
Kosovo,20.87249811,42.57078707,1
Kuwait,47.58700459,29.33431262,1
Lao PDR,103.7377241,18.50217433,0
Lebanon,35.88016072,33.92306631,1
Liberia,-9.32207573,6.45278492,1
Libya,18.00866169,27.03094495,1
Saint Lucia,-60.96969923,13.89479481,2
Liechtenstein,9.53574312,47.13665835,1
Sri Lanka,80.70108238,7.61266509,0
Lesotho,28.22723131,-29.58003188,1
Lithuania,23.88719355,55.32610984,1
Luxembourg,6.07182201,49.76725361,1
Latvia,24.91235983,56.85085163,1
Macao,113.5093212,22.22311688,0
St-Martin,-63.05972851,18.08888611,2
Morocco,-8.45615795,29.83762955,1
Monaco,7.40627677,43.75274627,1
Moldova,28.45673372,47.19498804,1
Madagascar,46.70473674,-19.37189587,1
Maldives,73.45713004,3.7287092,0
Mexico,-102.5234517,23.94753724,2
Marshall Is.,170.3397612,7.00376358,0
Macedonia,21.68211346,41.59530893,1
Mali,-3.54269065,17.34581581,1
Malta,14.40523316,35.92149632,1
Myanmar,96.48843321,21.18566599,0
Montenegro,19.23883939,42.78890259,1
Mongolia,103.0529977,46.82681544,0
N. Mariana Is.,145.6196965,15.82927563,0
Mozambique,35.53367543,-17.27381643,1
Mauritania,-10.34779815,20.25736706,1
Montserrat,-62.18518546,16.73941406,2
Mauritius,57.57120551,-20.27768704,1
Malawi,34.28935599,-13.21808088,1
Malaysia,109.6976228,3.78986846,0
Namibia,17.20963567,-22.13032568,1
New Caledonia,165.6849237,-21.29991806,0
Niger,9.38545882,17.41912493,1
Norfolk Island,167.9492168,-29.0514609,0
Nigeria,8.08943895,9.59411452,1
Nicaragua,-85.0305297,12.84709429,2
Niue,-169.8699468,-19.04945708,2
Netherlands,5.28144793,52.1007899,1
Norway,15.34834656,68.75015572,1
Nepal,83.9158264,28.24891365,0
Nauru,166.9325682,-0.51912639,0
New Zealand,171.4849235,-41.81113557,0
Oman,56.09166155,20.60515333,1
Pakistan,69.33957937,29.9497515,1
Panama,-80.11915156,8.51750797,2
Pitcairn Is.,-128.317042,-24.36500535,2
Peru,-74.38242685,-9.15280381,2
Philippines,122.8839325,11.77536778,0
Palau,134.4080797,7.28742784,0
Papua New Guinea,145.2074475,-6.46416646,0
Poland,19.39012835,52.12759564,1
Puerto Rico,-66.47307604,18.22813055,2
Dem. Rep. Korea,127.1924797,40.15350311,0
Portugal,-8.50104361,39.59550671,1
Paraguay,-58.40013703,-23.22823913,2
Palestine,35.19628705,31.91613893,1
Fr. Polynesia,-144.9049439,-14.72227409,2
Qatar,51.18479632,25.30601188,1
Romania,24.97293039,45.85243127,1
Russia,96.68656112,61.98052209,0
Rwanda,29.91988515,-1.99033832,1
W. Sahara,-12.21982755,24.22956739,1
Saudi Arabia,44.53686271,24.12245841,1
Sudan,29.94046812,15.99035669,1
S. Sudan,30.24790002,7.30877945,1
Senegal,-14.4734924,14.36624173,1
Singapore,103.8172559,1.35876087,0
S. Geo. and S. Sandw. Is.,-36.43318388,-54.46488248,2
Saint Helena,-9.54779416,-12.40355951,1
Solomon Is.,159.6328767,-8.92178022,0
Sierra Leone,-11.79271247,8.56329593,1
El Salvador,-88.87164469,13.73943744,2
San Marino,12.45922334,43.94186747,1
Somaliland,46.25198395,9.73345496,1
Somalia,45.70714487,4.75062876,1
St. Pierre and Miquelon,-56.30319779,46.91918789,2
Serbia,20.78958334,44.2215032,1
Ṣo Tom̩ and Principe,6.72429658,0.44391445,1
Suriname,-55.9123457,4.13055413,2
Slovakia,19.47905218,48.70547528,1
Slovenia,14.80444238,46.11554772,1
Sweden,16.74558049,62.77966519,1
Swaziland,31.4819369,-26.55843045,1
Sint Maarten,-63.05713363,18.05081728,2
Seychelles,55.47603279,-4.66099094,1
Syria,38.50788204,35.02547389,1
Turks and Caicos Is.,-71.97387881,21.83047572,2
Chad,18.64492513,15.33333758,1
Togo,0.96232845,8.52531356,1
Thailand,101.0028813,15.11815794,0
Tajikistan,71.01362631,38.5304539,1
Turkmenistan,59.37100021,39.11554137,1
Timor-Leste,125.8443898,-8.82889162,0
Tonga,-174.8098734,-20.42843174,2
Trinidad and Tobago,-61.26567923,10.45733408,2
Tunisia,9.55288359,34.11956246,1
Turkey,35.16895346,39.0616029,1
Taiwan,120.9542728,23.7539928,0
Tanzania,34.81309981,-6.27565408,1
Uganda,32.36907971,1.27469299,1
Ukraine,31.38326469,48.99656673,1
Uruguay,-56.01807053,-32.79951534,2
United States,-112.4616737,45.6795472,2
Uzbekistan,63.14001528,41.75554225,1
Vatican,12.43387177,41.90174985,1
St. Vin. and Gren.,-61.20129695,13.22472269,2
Venezuela,-66.18184123,7.12422421,2
British Virgin Is.,-64.47146992,18.52585755,2
U.S. Virgin Is.,-64.80301538,17.95500624,2
Vietnam,106.299147,16.6460167,0
Vanuatu,167.6864464,-16.22640909,0
Wallis and Futuna Is.,-177.3483483,-13.88737039,2
Samoa,-172.1648506,-13.75324346,2
Yemen,47.58676189,15.90928005,1
South Africa,25.08390093,-29.00034095,1
Zambia,27.77475946,-13.45824152,1
Zimbabwe,29.8514412,-19.00420419,1
